orden,columna,bloque,componente,variable_base,tipo_pandas_muestra
345,pef_post,resultado_fvl,post,pef,float64
346,testgradeats_predicted,resultado_fvl,predicted,testgradeats,float64
347,testgradeats_sd,resultado_fvl,sd,testgradeats,float64
348,testgradeats_cv,resultado_fvl,cv,testgradeats,float64
349,testgradeats_skewness,resultado_fvl,skewness,testgradeats,float64
350,testgradeats_pre,resultado_fvl,pre,testgradeats,str
351,testgradeats_post,resultado_fvl,post,testgradeats,str
352,testgradenlhep_predicted,resultado_fvl,predicted,testgradenlhep,float64
353,testgradenlhep_sd,resultado_fvl,sd,testgradenlhep,float64
354,testgradenlhep_cv,resultado_fvl,cv,testgradenlhep,float64
355,testgradenlhep_skewness,resultado_fvl,skewness,testgradenlhep,float64
356,testgradenlhep_pre,resultado_fvl,pre,testgradenlhep,str
357,testgradenlhep_post,resultado_fvl,post,testgradenlhep,str
358,tofefmax_predicted,resultado_fvl,predicted,tofefmax,float64
359,tofefmax_sd,resultado_fvl,sd,tofefmax,float64
360,tofefmax_cv,resultado_fvl,cv,tofefmax,float64
361,tofefmax_skewness,resultado_fvl,skewness,tofefmax,float64
362,tofefmax_pre,resultado_fvl,pre,tofefmax,float64
363,tofefmax_post,resultado_fvl,post,tofefmax,float64
364,vmax60_predicted,resultado_fvl,predicted,vmax60,float64
365,vmax60_sd,resultado_fvl,sd,vmax60,float64
366,vmax60_cv,resultado_fvl,cv,vmax60,float64
367,vmax60_skewness,resultado_fvl,skewness,vmax60,float64
368,vmax60_pre,resultado_fvl,pre,vmax60,float64
369,vmax60_post,resultado_fvl,post,vmax60,float64
370,vmax70_predicted,resultado_fvl,predicted,vmax70,float64
371,vmax70_sd,resultado_fvl,sd,vmax70,float64
372,vmax70_cv,resultado_fvl,cv,vmax70,float64
373,vmax70_skewness,resultado_fvl,skewness,vmax70,float64
374,vmax70_pre,resultado_fvl,pre,vmax70,float64
375,vmax70_post,resultado_fvl,post,vmax70,float64
376,vmax80_predicted,resultado_fvl,predicted,vmax80,float64
377,vmax80_sd,resultado_fvl,sd,vmax80,float64
378,vmax80_cv,resultado_fvl,cv,vmax80,float64
379,vmax80_skewness,resultado_fvl,skewness,vmax80,float64
380,vmax80_pre,resultado_fvl,pre,vmax80,float64
381,vmax80_post,resultado_fvl,post,vmax80,float64
382,volpalvpk_predicted,resultado_fvl,predicted,volpalvpk,float64
383,volpalvpk_sd,resultado_fvl,sd,volpalvpk,float64
384,volpalvpk_cv,resultado_fvl,cv,volpalvpk,float64
385,volpalvpk_skewness,resultado_fvl,skewness,volpalvpk,float64
386,volpalvpk_pre,resultado_fvl,pre,volpalvpk,float64
387,volpalvpk_post,resultado_fvl,post,volpalvpk,float64
388,volextrap_percent_predicted_pre,resultado_fvl,percent_predicted_pre,volextrap,float64
389,volextrap_zscore_pre,resultado_fvl,zscore_pre,volextrap,float64
390,volextrap_percent_predicted_post,resultado_fvl,percent_predicted_post,volextrap,float64
391,volextrap_zscore_post,resultado_fvl,zscore_post,volextrap,float64
392,exptime_percent_predicted_pre,resultado_fvl,percent_predicted_pre,exptime,float64
393,exptime_zscore_pre,resultado_fvl,zscore_pre,exptime,float64
394,exptime_percent_predicted_post,resultado_fvl,percent_predicted_post,exptime,float64
395,exptime_zscore_post,resultado_fvl,zscore_post,exptime,float64
396,fef10_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef10,float64
397,fef10_zscore_pre,resultado_fvl,zscore_pre,fef10,float64
398,fef10_percent_predicted_post,resultado_fvl,percent_predicted_post,fef10,float64
399,fef10_zscore_post,resultado_fvl,zscore_post,fef10,float64
400,fef2001200_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef2001200,float64
401,fef2001200_zscore_pre,resultado_fvl,zscore_pre,fef2001200,float64
402,fef2001200_percent_predicted_post,resultado_fvl,percent_predicted_post,fef2001200,float64
403,fef2001200_zscore_post,resultado_fvl,zscore_post,fef2001200,float64
404,fef25_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef25,float64
405,fef25_zscore_pre,resultado_fvl,zscore_pre,fef25,float64
406,fef25_percent_predicted_post,resultado_fvl,percent_predicted_post,fef25,float64
407,fef25_zscore_post,resultado_fvl,zscore_post,fef25,float64
408,fef2575_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef2575,float64
409,fef2575_zscore_pre,resultado_fvl,zscore_pre,fef2575,float64
410,fef2575_percent_predicted_post,resultado_fvl,percent_predicted_post,fef2575,float64
411,fef2575_zscore_post,resultado_fvl,zscore_post,fef2575,float64
412,fef40_percent_predicted_pre,resultado_fvl,percent_predicted_pre,fef40,float64
413,fef40_zscore_pre,resultado_fvl,zscore_pre,fef40,float64
414,fef40_percent_predicted_post,resultado_fvl,percent_predicted_post,fef40,float64
415,fef40_zscore_post,resultado_fvl,zscore_post,fef40,float64
